,City,Country,Latitude,Longitude
301,chern,ru,,
302,arlit,ne,,
303,ushuaia,ar,,
304,barrow,us,,
305,rocha,uy,,
306,amderma,ru,,
307,yellowknife,ca,,
308,georgetown,sh,,
309,hobart,au,,
310,carutapera,br,,
311,grootfontein,na,,
312,khatanga,ru,,
313,thompson,ca,,
314,albany,au,,
315,cape town,za,,
316,luderitz,na,,
317,rikitea,pf,,
318,port alfred,za,,
319,mataura,pf,,
320,vaini,to,,
321,jamestown,sh,,
322,pemba,mz,,
323,punta arenas,cl,,
324,rio grande,br,,
325,salisbury,gb,,
326,cap malheureux,mu,,
327,ushuaia,ar,,
328,avera,pf,,
329,taoudenni,ml,,
330,sale,au,,
331,henties bay,na,,
332,yar-sale,ru,,
333,miri,my,,
334,hobart,au,,
335,atuona,pf,,
336,punta arenas,cl,,
337,galgani,sd,,
338,barrow,us,,
339,aquidauana,br,,
340,east london,za,,
341,honiara,sb,,
342,pevek,ru,,
343,taolanaro,mg,,
344,itoman,jp,,
345,lebu,cl,,
346,mahebourg,mu,,
347,yellowknife,ca,,
348,hermanus,za,,
349,mataura,pf,,
350,klaksvik,fo,,
351,mataura,pf,,
352,nanortalik,gl,,
353,busselton,au,,
354,atuona,pf,,
355,thompson,ca,,
356,puerto ayora,ec,,
357,bolungarvik,is,,
358,albany,au,,
359,kudat,my,,
360,dingle,ie,,
361,nizhneyansk,ru,,
362,avarua,ck,,
363,palabuhanratu,id,,
364,tutoia,br,,
365,severo-kurilsk,ru,,
366,jalu,ly,,
367,qaanaaq,gl,,
368,hermanus,za,,
369,urumqi,cn,,
370,albany,au,,
371,ushuaia,ar,,
372,hilo,us,,
373,galesong,id,,
374,rikitea,pf,,
375,ndele,cf,,
376,menongue,ao,,
377,tsihombe,mg,,
378,marcona,pe,,
379,bathsheba,bb,,
380,udachnyy,ru,,
381,hithadhoo,mv,,
382,punta arenas,cl,,
383,hermanus,za,,
384,khilok,ru,,
385,barentsburg,sj,,
386,santa lucia,es,,
387,berlevag,no,,
388,mataura,pf,,
389,bahia blanca,ar,,
390,kruisfontein,za,,
391,bluff,nz,,
392,port alfred,za,,
393,rikitea,pf,,
394,jamestown,sh,,
395,mo i rana,no,,
396,tuktoyaktuk,ca,,
397,hermanus,za,,
398,torbay,ca,,
399,albany,au,,
400,albany,au,,
401,port macquarie,au,,
402,maragogi,br,,
403,mataura,pf,,
404,moose factory,ca,,
405,nouakchott,mr,,
406,east london,za,,
407,jogindarnagar,in,,
408,vaini,to,,
409,punta arenas,cl,,
410,port blair,in,,
411,cockburn town,tc,,
412,bethel,us,,
413,torbay,ca,,
414,tuatapere,nz,,
415,provideniya,ru,,
416,acari,pe,,
417,ilulissat,gl,,
418,albany,au,,
419,rikitea,pf,,
420,dikson,ru,,
421,saint-pierre,pm,,
422,kapaa,us,,
423,hithadhoo,mv,,
424,cockburn town,bs,,
425,saint-philippe,re,,
426,provideniya,ru,,
427,butaritari,ki,,
428,mataura,pf,,
429,krasnogvardeyskiy,ru,,
430,atuona,pf,,
431,luderitz,na,,
432,tuktoyaktuk,ca,,
433,saint-pierre,pm,,
434,ushuaia,ar,,
435,qaanaaq,gl,,
436,morehead,pg,,
437,ketchikan,us,,
438,antropovo,ru,,
439,georgetown,sh,,
440,rikitea,pf,,
441,qaanaaq,gl,,
442,rikitea,pf,,
443,qingquan,cn,,
444,cape town,za,,
445,bandarbeyla,so,,
446,illoqqortoormiut,gl,,
447,ushuaia,ar,,
448,mataura,pf,,
449,hilo,us,,
450,ribeira grande,pt,,
451,vaini,to,,
452,danilovka,ru,,
453,atuona,pf,,
454,necochea,ar,,
455,hay river,ca,,
456,lebu,cl,,
457,upernavik,gl,,
458,bondo,cd,,
459,cape town,za,,
460,san quintin,mx,,
461,bowen,au,,
462,qaanaaq,gl,,
463,guerrero negro,mx,,
464,nanortalik,gl,,
465,barentsburg,sj,,
466,verkhoyansk,ru,,
467,san cristobal,ec,,
468,sola,vu,,
469,rikitea,pf,,
470,tiarei,pf,,
471,ribeira grande,pt,,
472,talnakh,ru,,
473,goderich,sl,,
474,sur,om,,
475,taolanaro,mg,,
476,aykhal,ru,,
477,samusu,ws,,
478,butaritari,ki,,
479,sorland,no,,
480,nishihara,jp,,
481,avarua,ck,,
482,ancud,cl,,
483,portland,au,,
484,east london,za,,
485,lanja,in,,
486,dikson,ru,,
487,ostrovnoy,ru,,
488,barrow,us,,
489,mys shmidta,ru,,
490,hudson bay,ca,,
491,dikson,ru,,
492,husavik,is,,
493,hermanus,za,,
494,busselton,au,,
495,rikitea,pf,,
496,thompson,ca,,
497,rikitea,pf,,
498,agadez,ne,,
499,ushuaia,ar,,
